UPI,REPORTS
ishaan@okicici,4
helpline@okrefund,353
gursheel@fam,1
helpdesk64@paypal,231
loanoffer74@okhdfcbnk,375
saumya@okaxis,1
devansh@fam,4
paypal@okicici,2
amit@okhdfcbank,0
fastrefund@customercareupi,348
ivy@okicici,2
ivy@okaxis,2
kaavya@upi,0
aryan@paytm,4
anandi@fam,1
loanoffer87@googlepay,399
kaavya@paytm,2
sbihelpdesk@fam,5
anandi@okicici,0
sumit@okaxis,1
aryan@okaxis,2
refund@okrefund,447
sbihelpdesk@upi,5
kaavya@ybl,4
saumya@ybl,5
anandi@okicici,5
anandi@fam,0
kaavya@fam,5
amit@ybl,2
paytmcash@upi,1
ishaan@okhdfcbank,3
paytmcash@fam,2
sumit@paytm,2
helpdesk@paypal,123
paytmcash@okhdfcbank,1
gursheel@paytm,3
saumya@upi,5
anandi@okicici,2
kaavya@okaxis,1
reward28@okicicii,326
sbihelpdesk@upi,5
insurance@ybl,1
sumit@upi,4
paypal@fam,3
refund@googlepay,291
paytmcash@upi,2
grocery@upi,2
helpline@okaxis,5
helpline@okhdfcbank,0
sumit@upi,1
sbihelpdesk@fam,1
sumit@okhdfcbank,0
helpline@fam,4
aryan@paytm,1
amit@okicici,5
saumya@okicici,5
saumya@okicici,1
aryan@okhdfcbank,0
ivy@okhdfcbank,5
helpdesk97@oksbibank,434
aryan@okaxis,5
devansh@okaxis,0
amit@fam,1
paypal@okicici,3
aryan@ybl,1
ishaan@okhdfcbank,2
aryan@ybl,2
amit@fam,2
insurance@okaxis,0
sbihelpdesk@upi,3
helpline@okaxisback,391
sbihelpdesk@okhdfcbank,3
sbihelpdesk@fam,5
ivy@fam,2
insurance@fam,2
anandi@okicici,1
amit@okicici,2
paytmcash@upi,3
gursheel@okaxis,4
amit@upi,2
saumya@okhdfcbank,3
loanoffer59@googlepay,169
sbihelpdesk@fam,0
insurance@paytm,5
helpline@okaxis,4
saumya@okaxis,5
insurance@fam,1
insurance@okaxis,4
paytmcash@ybl,4
fastfood@okicici,1
grocery@ybl,0
helpline@paytm,3
anandi@okhdfcbank,0
grocery@okhdfcbank,5
saumya@ybl,2
saumya@upi,1
aryan@fam,1
grocery@okhdfcbank,3
helpline@fam,1
saumya@okicici,1
sbihelpdesk@okaxis,5
fastfood@upi,0
ananya@okaxis,4
paypal@okaxis,2
sbihelpdesk@okaxis,4
ishaan@okaxis,0
helpline@upi,1
paypal@upi,3
saumya@fam,1
amit@ybl,2
ivy@ybl,4
paypal@upi,0
saumya@upi,4
fastfood@paytm,2
gursheel@upi,1
saumya@okicici,4
gursheel@fam,5
ishaan@ybl,3
gursheel@okaxis,0
ananya@okaxis,4
helpline@okhdfcbank,2
kaavya@okaxis,4
insurance@okaxis,0
ananya@upi,0
ivy@okicici,4
fastfood@ybl,0
ananya@upi,1
paypal@okhdfcbank,0
devansh@okhdfcbank,5
kaavya@ybl,0
kaavya@fam,4
insurance@okhdfcbank,1
saumya@okhdfcbank,0
amit@okicici,1
devansh@paytm,3
ishaan@fam,2
amit@fam,4
saumya@upi,0
helpline@paytm,5
helpline@okaxis,4
sbihelpdesk@paytm,1
grocery@upi,5
fastfood@upi,2
saumya@fam,1
helpline@upi,5
fastfood@upi,3
paypal@paytm,4
gursheel@upi,3
sbihelpdesk@ybl,2
fastfood@okhdfcbank,0
paypal@paytm,2
aryan@ybl,1
aryan@paytm,2
saumya@paytm,1
sbihelpdesk@ybl,2
amit@ybl,5
refund@paypal,443
ivy@ybl,4
paypal@paytm,5
ishaan@okaxis,0
aryan@ybl,0
amit@okhdfcbank,5
aryan@ybl,3
amit@okicici,1
sbihelpdesk@okicici,0
ananya@fam,1
paytmcash@ybl,2
anandi@okhdfcbank,2
grocery@ybl,4
sbihelpdesk@okicici,4
amit@fam,2
saumya@okaxis,4
paytmcash@fam,1
sbihelpdesk@okhdfcbank,5
sbihelpdesk@fam,0
paypal@okhdfcbank,2
kaavya@fam,0
grocery@fam,4
sumit@okaxis,4
helpdesk@okhdfcbnk,470
ivy@paytm,5
paytmcash@fam,1
ishaan@upi,2
aryan@okaxis,1
kaavya@upi,5
sbihelpdesk@okhdfcbank,4
grocery@paytm,3
insurance@okaxis,4
fastfood@okhdfcbank,1
ananya@okicici,1
devansh@okhdfcbank,4
fastfood@okicici,0
saumya@okaxis,2
paytmcash@okaxis,0
gursheel@okicici,1
loanoffer98@okrefund,347
anandi@upi,5
paypal@fam,2
sbihelpdesk@fam,1
paytmcash@fam,4
grocery@okhdfcbank,0
gursheel@okicici,0
fastrefund98@okrefund,344
fastfood@okicici,2
amit@paytm,2
gursheel@paytm,3
sbihelpdesk@okhdfcbank,0
helpline88@customercareupi,301
helpline@fam,4
ishaan@fam,5
anandi@ybl,1
anandi@paytm,5
ananya@okicici,3
saumya@upi,4
ishaan@okicici,5
devansh@okicici,1
kaavya@paytm,4
sumit@paytm,1
kaavya@fam,2
grocery@upi,0
ananya@fam,4
anandi@fam,5
aryan@paytm,2
paypal@okicici,2
anandi@ybl,4
grocery@okhdfcbank,2
helpline@paypal,415
amit@okicici,1
anandi@okicici,0
amit@upi,4
devansh@upi,4
refund@customercareupi,203
grocery@ybl,5
devansh@ybl,1
grocery@fam,4
gursheel@fam,2
ananya@paytm,1
anandi@okicici,1
saumya@ybl,5
refund@paypal,101
insurance@okhdfcbank,0
sbihelpdesk@okaxis,5
devansh@ybl,4
anandi@upi,3
kaavya@okicici,5
aryan@upi,0
insurance@paytm,5
fastfood@fam,2
anandi@paytm,4
insurance@ybl,0
saumya@okhdfcbank,1
sbihelpdesk@upi,2
anandi@ybl,5
helpline@fam,4
grocery@okhdfcbank,0
ishaan@ybl,2
gursheel@okaxis,5
verify@okrefund,241
saumya@okaxis,2
amit@fam,1
saumya@okaxis,1
grocery@okicici,3
anandi@okaxis,3
ananya@okicici,3
ivy@ybl,0
ishaan@upi,4
saumya@okhdfcbank,2
paytmcash@fam,3
sumit@paytm,5
anandi@okaxis,5
loanoffer97@customercareupi,145
saumya@paytm,4
insurance@paytm,3
paytmcash@okhdfcbank,3
kaavya@okhdfcbank,4
fastfood@upi,0
gursheel@okaxis,4
helpline@okicici,5
devansh@fam,3
saumya@ybl,2
paytmcash@okicici,3
sumit@ybl,4
ananya@fam,1
paypal@upi,3
paypal@fam,4
devansh@fam,5
helpline@okhdfcbank,1
ishaan@okicici,4
ananya@fam,4
sumit@ybl,5
saumya@upi,0
helpline@okrefund,201
helpline@fam,1
ivy@okhdfcbank,3
kaavya@okicici,2
devansh@fam,5
kaavya@okhdfcbank,1
sbihelpdesk@okicici,0
helpline@oksbibank,391
grocery@okaxis,5
fastfood@paytm,1
sbihelpdesk@paytm,2
gursheel@ybl,2
ananya@paytm,4
ishaan@upi,2
kaavya@ybl,1
helpline@ybl,4
kaavya@ybl,2
anandi@paytm,0
sumit@okaxis,4
anandi@okaxis,5
sbihelpdesk@upi,1
saumya@fam,2
ivy@okaxis,3
devansh@paytm,5
grocery@okhdfcbank,4
ishaan@ybl,0
helpline@paytm,4
sbihelpdesk@upi,2
gursheel@paytm,2
kaavya@paytm,4
paypal@fam,2
sumit@paytm,4
sbihelpdesk@upi,0
sbihelpdesk@fam,3
gursheel@upi,0
insurance@upi,3
insurance@upi,4
insurance@upi,0
saumya@paytm,3
fastfood@okhdfcbank,0
saumya@ybl,4
gursheel@okhdfcbank,5
paypal@upi,4
sbihelpdesk@okhdfcbank,0
saumya@fam,0
fastrefund@customercareupi,194
refund49@okicicii,271
ishaan@paytm,3
refund45@oksbibank,178
sumit@okicici,5
amit@ybl,5
aryan@upi,0
aryan@okhdfcbank,5
helpline@okaxis,3
paytmcash@fam,0
loanoffer97@okrefund,322
insurance@paytm,1
sumit@okaxis,1
fastfood@fam,4
aryan@fam,1
aryan@okicici,3
devansh@ybl,1
aryan@okhdfcbank,2
saumya@ybl,1
saumya@okhdfcbank,3
fastfood@okaxis,2
sumit@paytm,5
helpline@paytm,3
ananya@upi,4
helpline@upi,4
ishaan@okaxis,3
grocery@okaxis,5
paypal@okhdfcbank,5
paypal@paytm,3
gursheel@paytm,3
paypal@upi,0
paytmcash@fam,4
ananya@paytm,4
devansh@paytm,0
amit@ybl,2
anandi@okaxis,4
helpline@fam,1
ishaan@upi,4
paytmcash@paytm,1
paypal@paytm,3
aryan@okicici,1
aryan@fam,3
anandi@okaxis,1
sumit@okicici,4
ishaan@upi,1
loanoffer83@okicicii,186
aryan@okhdfcbank,4
refund@okrefund,370
amit@fam,0
helpline@okaxis,0
paypal@okaxis,1
helpline@ybl,2
sbihelpdesk@okhdfcbank,3
ishaan@paytm,4
paytmcash@paytm,1
paytmcash@okhdfcbank,1
helpline@upi,4
ishaan@ybl,0
ishaan@okicici,4
paypal@upi,0
fastfood@fam,3
paytmcash@okhdfcbank,2
helpline@fam,2
aryan@upi,1
devansh@fam,4
helpdesk@paypal,371
sbihelpdesk@okicici,0
gursheel@okaxis,2
devansh@ybl,5
insurance@fam,0
aryan@okhdfcbank,1
ananya@upi,0
fastfood@okaxis,4
kaavya@okaxis,3
anandi@okhdfcbank,3
gursheel@okicici,0
ivy@okhdfcbank,1
sbihelpdesk@paytm,5
grocery@fam,0
insurance@okhdfcbank,2
sbihelpdesk@okicici,5
ananya@okhdfcbank,4
reward43@customercareupi,195
ananya@ybl,4
sbihelpdesk@okhdfcbank,1
anandi@upi,0
gursheel@okicici,3
sbihelpdesk@okhdfcbank,5
anandi@ybl,5
reward14@googlepay,122
gursheel@ybl,1
fastfood@okicici,2
kaavya@okicici,1
insurance@fam,2
cashback@okrefund,204
helpline@fam,5
ishaan@upi,1
amit@ybl,4
devansh@okhdfcbank,2
saumya@okhdfcbank,2
reward37@okrefund,257
insurance@upi,0
grocery@okicici,2
aryan@paytm,2
ananya@okaxis,3
gursheel@okaxis,5
sumit@okicici,2
devansh@fam,3
fastfood@okicici,1
grocery@fam,2
devansh@upi,2
sbihelpdesk@upi,3
sbihelpdesk@ybl,3
anandi@okhdfcbank,0
sbihelpdesk@upi,2
insurance@okicici,3
sumit@okhdfcbank,5
paytmcash@okaxis,0
ishaan@paytm,0
grocery@okaxis,3
fastfood@upi,3
ishaan@okaxis,4
kaavya@okaxis,4
insurance@ybl,1
kaavya@fam,2
ishaan@okicici,0
ivy@paytm,4
anandi@okaxis,0
kaavya@ybl,1
grocery@upi,0
saumya@upi,5
saumya@okaxis,3
devansh@okaxis,3
insurance@fam,3
fastfood@okaxis,2
kaavya@ybl,3
insurance@ybl,3
refund16@okrefund,287
sbihelpdesk@okaxis,0
refund@okhdfcbnk,393
sumit@fam,2
anandi@ybl,2
kaavya@paytm,2
sumit@upi,3
devansh@upi,0
fastrefund94@paypal,456
gursheel@paytm,2
fastfood@upi,1
fastfood@ybl,5
amit@ybl,3
devansh@ybl,0
amit@ybl,0
helpdesk38@oksbibank,136
ananya@upi,5
gursheel@okicici,1
helpline@ybl,5
ivy@okaxis,0
sumit@okhdfcbank,2
gursheel@fam,2
helpline@okaxis,2
kaavya@okaxis,0
devansh@ybl,1
fastfood@ybl,2
sumit@okicici,4
amit@okaxis,2
sbihelpdesk@okhdfcbank,3
fastrefund25@okhdfcbnk,203
paytmcash@paytm,3
fastfood@fam,5
devansh@paytm,0
saumya@okicici,1
helpline@upi,3
ivy@ybl,1
paypal@paytm,2
grocery@upi,4
grocery@paytm,1
sumit@upi,4
paytmcash@okicici,2
fastfood@ybl,2
ananya@okhdfcbank,5
saumya@paytm,1
insurance@fam,3
loanoffer@googlepay,261
fastfood@upi,4
devansh@okhdfcbank,2
grocery@okhdfcbank,1
amit@paytm,3
paypal@ybl,1
verify@oksbibank,387
reward41@customercareupi,366
helpline@ybl,0
sbihelpdesk@ybl,2
kaavya@okicici,5
ishaan@okicici,5
sbihelpdesk@okhdfcbank,0
gursheel@okaxis,0
verify@okrefund,428
ananya@upi,3
verify@okaxisback,242
amit@okaxis,2
saumya@okhdfcbank,1
ivy@ybl,3
amit@upi,0
loanoffer@customercareupi,252
devansh@paytm,1
saumya@upi,1
fastfood@fam,0
helpline@okaxis,3
kaavya@fam,3
anandi@upi,2
ishaan@paytm,4
gursheel@upi,0
sbihelpdesk@ybl,4
devansh@fam,2
ishaan@okaxis,3
ivy@paytm,0
saumya@upi,2
paytmcash@ybl,0
grocery@okicici,4
gursheel@okicici,2
helpline@okaxis,4
helpdesk57@okrefund,322
sbihelpdesk@paytm,5
ivy@fam,0
aryan@okaxis,4
aryan@paytm,1
insurance@upi,1
devansh@paytm,3
grocery@okhdfcbank,1
gursheel@ybl,4
gursheel@okaxis,0
insurance@okhdfcbank,2
insurance@paytm,1
insurance@okaxis,1
kaavya@okhdfcbank,0
paytmcash@paytm,2
helpline@upi,4
insurance@paytm,0
reward30@okrefund,160
sbihelpdesk@okaxis,3
grocery@okhdfcbank,5
cashback22@okaxisback,330
paytmcash@fam,0
saumya@paytm,0
fastrefund@okicicii,340
sbihelpdesk@fam,3
kaavya@fam,0
ivy@fam,1
paytmcash@okaxis,4
ananya@okhdfcbank,2
ananya@paytm,4
aryan@okaxis,5
kaavya@okhdfcbank,3
loanoffer48@okicicii,310
kaavya@ybl,5
sumit@okhdfcbank,5
sumit@okhdfcbank,0
reward53@customercareupi,180
insurance@paytm,0
sbihelpdesk@okaxis,0
grocery@okaxis,2
sbihelpdesk@okaxis,5
fastrefund@googlepay,101
ishaan@paytm,3
fastfood@okaxis,4
paytmcash@okicici,2
grocery@paytm,4
devansh@okaxis,1
ananya@fam,3
paytmcash@fam,0
fastfood@paytm,3
anandi@okicici,2
helpdesk33@oksbibank,224
paypal@ybl,4
sbihelpdesk@okaxis,3
amit@fam,4
ishaan@upi,2
helpline@okhdfcbank,5
insurance@paytm,2
anandi@ybl,0
ananya@okhdfcbank,5
devansh@upi,4
ivy@okicici,2
ananya@paytm,0
gursheel@fam,0
insurance@ybl,4
sumit@okicici,3
devansh@fam,4
kaavya@okhdfcbank,3
ivy@ybl,5
ivy@okhdfcbank,3
helpline@okaxis,3
ananya@okaxis,0
ananya@paytm,1
anandi@okhdfcbank,3
anandi@paytm,1
anandi@okhdfcbank,0
kaavya@upi,0
sumit@okaxis,4
amit@paytm,0
amit@okicici,3
devansh@okaxis,0
kaavya@paytm,3
grocery@okicici,5
ananya@okaxis,5
anandi@okicici,2
insurance@paytm,0
amit@okicici,1
grocery@ybl,4
helpdesk44@oksbibank,222
ishaan@okaxis,0
ivy@upi,2
aryan@okhdfcbank,4
ivy@okicici,1
paypal@paytm,2
aryan@ybl,0
sumit@upi,1
fastfood@paytm,3
insurance@okicici,4
insurance@okicici,0
grocery@fam,5
ananya@upi,2
helpline@upi,4
helpline@okicicii,312
grocery@ybl,3
fastfood@fam,0
ananya@paytm,2
paytmcash@okaxis,0
sumit@paytm,4
paytmcash@paytm,0
ishaan@ybl,3
insurance@fam,2
helpline@okhdfcbank,5
amit@okaxis,4
loanoffer84@customercareupi,177
sumit@okaxis,0
gursheel@okaxis,0
refund13@okaxisback,387
insurance@okicici,0
grocery@ybl,1
saumya@okhdfcbank,0
aryan@okhdfcbank,4
fastrefund@okicicii,141
loanoffer@okrefund,376
helpline@okaxis,1
devansh@upi,0
ishaan@ybl,3
fastrefund79@googlepay,138
cashback@googlepay,245
refund86@googlepay,246
cashback@okrefund,333
gursheel@okicici,5
insurance@okhdfcbank,2
grocery@okicici,3
helpline@okaxis,1
fastrefund17@okhdfcbnk,470
refund86@customercareupi,416
helpline@fam,5
amit@upi,0
ivy@okhdfcbank,2
saumya@okhdfcbank,0
helpline@paytm,0
ivy@paytm,4
insurance@okhdfcbank,1
ananya@paytm,0
sumit@okicici,1
ivy@upi,1
anandi@upi,0
fastfood@okhdfcbank,4
grocery@paytm,4
paypal@okicici,2
ivy@okicici,0
loanoffer98@okaxisback,249
saumya@paytm,4
aryan@okaxis,1
sbihelpdesk@okhdfcbank,1
sumit@okicici,3
sumit@paytm,5
aryan@ybl,2
ananya@okhdfcbank,1
paytmcash@paytm,1
anandi@ybl,4
devansh@upi,0
helpdesk84@okaxisback,353
gursheel@okaxis,1
sbihelpdesk@paytm,1
paytmcash@okhdfcbank,0
sumit@okhdfcbank,0
insurance@ybl,4
ananya@okicici,2
saumya@okicici,5
paytmcash@paytm,4
amit@paytm,4
amit@okicici,0
ivy@okaxis,0
helpline@fam,0
fastfood@okicici,4
sumit@upi,2
insurance@ybl,5
fastfood@ybl,2
insurance@upi,0
amit@okicici,0
devansh@fam,4
paypal@okaxis,2
sbihelpdesk@paytm,2
verify@customercareupi,484
insurance@ybl,4
gursheel@ybl,4
fastfood@ybl,3
amit@ybl,5
paypal@upi,0
helpline@okicici,0
devansh@paytm,3
paypal@okaxis,3
sumit@ybl,3
paypal@upi,0
devansh@ybl,2
sumit@okaxis,3
sumit@okaxis,1
gursheel@okaxis,2
amit@okhdfcbank,1
aryan@okicici,3
paypal@okicici,0
ananya@paytm,0
verify26@okicicii,151
loanoffer68@okrefund,309
sumit@okhdfcbank,0
ishaan@okicici,1
paytmcash@fam,5
sumit@okhdfcbank,5
saumya@okhdfcbank,1
paytmcash@ybl,3
verify@customercareupi,199
aryan@okicici,2
devansh@fam,0
paytmcash@okicici,4
fastfood@ybl,3
gursheel@okicici,1
aryan@okhdfcbank,2
paypal@upi,1
grocery@okaxis,1
insurance@okicici,5
ivy@okhdfcbank,2
saumya@okhdfcbank,0
reward@okrefund,391
amit@okicici,0
ishaan@upi,2
ishaan@okhdfcbank,0
verify@oksbibank,238
ivy@paytm,2
sbihelpdesk@paytm,0
ivy@paytm,0
paypal@okicici,1
devansh@ybl,4
grocery@upi,3
amit@okicici,3
aryan@okhdfcbank,2
gursheel@okaxis,5
fastfood@okhdfcbank,5
sumit@upi,3
insurance@fam,0
ivy@paytm,3
insurance@upi,0
insurance@fam,5
grocery@okicici,4
anandi@ybl,4
ivy@upi,0
loanoffer86@oksbibank,316
fastfood@okicici,3
ivy@ybl,0
helpdesk@okhdfcbnk,251
gursheel@okhdfcbank,5
ishaan@paytm,1
sbihelpdesk@okicici,2
gursheel@fam,0
fastfood@ybl,1
kaavya@okaxis,5
sbihelpdesk@paytm,4
sumit@fam,5
gursheel@upi,0
ananya@upi,5
fastfood@upi,5
ishaan@okhdfcbank,4
ananya@ybl,0
ananya@paytm,4
saumya@okhdfcbank,4
fastfood@fam,3
kaavya@fam,1
sbihelpdesk@fam,0
saumya@fam,5
aryan@paytm,2
aryan@okicici,0
paytmcash@okicici,1
aryan@upi,1
fastfood@okaxis,1
ivy@okhdfcbank,1
gursheel@okicici,5
devansh@ybl,1
anandi@fam,4
kaavya@okaxis,0
gursheel@okhdfcbank,2
paypal@okaxis,2
paytmcash@okicici,1
paytmcash@paytm,3
grocery@okicici,0
ishaan@fam,4
ishaan@okicici,2
helpline@paytm,4
aryan@okaxis,5
sumit@okicici,3
fastfood@paytm,3
ishaan@upi,1
ivy@okhdfcbank,5
fastfood@paytm,3
devansh@okhdfcbank,3
ishaan@paytm,4
helpline@ybl,3
helpline60@paypal,177
saumya@fam,2
ivy@ybl,5
devansh@okhdfcbank,3
ishaan@upi,1
paypal@fam,2
paypal@okicici,3
paytmcash@okhdfcbank,3
reward65@customercareupi,299
ishaan@okhdfcbank,5
aryan@upi,0
kaavya@upi,4
insurance@upi,1
sbihelpdesk@okaxis,0
aryan@fam,0
paypal@upi,2
ananya@fam,5
devansh@okhdfcbank,3
helpline@okhdfcbank,4
sumit@upi,0
aryan@paytm,0
gursheel@paytm,5
paypal@fam,2
ivy@ybl,5
paytmcash@paytm,1
kaavya@okicici,0
ishaan@ybl,0
ishaan@fam,4
ananya@ybl,2
ananya@okicici,3
sumit@okicici,0
paypal@upi,3
gursheel@ybl,2
fastfood@paytm,1
insurance@okhdfcbank,3
ananya@okicici,3
paypal@okhdfcbank,5
fastrefund67@okicicii,428
aryan@ybl,4
gursheel@paytm,4
amit@upi,1
ananya@upi,2
devansh@fam,1
paypal@okicici,1
insurance@okhdfcbank,1
saumya@okicici,4
anandi@fam,0
amit@okhdfcbank,0
saumya@ybl,1
ananya@ybl,0
anandi@upi,4
insurance@paytm,4
sbihelpdesk@okicici,3
kaavya@okaxis,4
helpline@okhdfcbank,0
helpline@okhdfcbank,0
aryan@okaxis,4
paypal@paytm,5
aryan@fam,5
fastfood@upi,1
paytmcash@paytm,4
grocery@ybl,2
kaavya@fam,1
ananya@ybl,3
amit@okicici,1
kaavya@okaxis,5
grocery@okaxis,3
ananya@okhdfcbank,0
paytmcash@paytm,2
fastfood@okhdfcbank,2
fastfood@paytm,4
grocery@ybl,0
helpline@okhdfcbank,4
ananya@fam,2
gursheel@fam,4
fastfood@upi,5
ananya@fam,1
ivy@paytm,5
reward68@oksbibank,111
ishaan@okaxis,2
kaavya@paytm,1
gursheel@okhdfcbank,0
ishaan@paytm,4
sbihelpdesk@ybl,3
ananya@okaxis,5
paytmcash@okicici,5
paypal@okhdfcbank,1
devansh@upi,1
reward93@okicicii,197
paytmcash@ybl,2
ivy@upi,3
grocery@paytm,5
helpline@googlepay,227
amit@okhdfcbank,1
sbihelpdesk@okicici,0
ivy@okaxis,3
devansh@ybl,3
paytmcash@paytm,2
grocery@ybl,2
anandi@okhdfcbank,5
refund@okhdfcbnk,282
insurance@okhdfcbank,1
aryan@okaxis,1
helpline@fam,5
grocery@paytm,1
paypal@okicici,3
fastfood@paytm,3
ivy@okicici,4
sumit@paytm,0
ivy@paytm,2
amit@okicici,0
saumya@paytm,2
ishaan@fam,2
gursheel@okaxis,5
ananya@ybl,3
aryan@okhdfcbank,5
sumit@okicici,3
ivy@okicici,2
saumya@okaxis,0
anandi@fam,5
ivy@okicici,1
anandi@fam,2
aryan@okicici,5
paypal@fam,0
anandi@paytm,4
aryan@okhdfcbank,2
grocery@fam,0
gursheel@upi,2
gursheel@paytm,3
aryan@ybl,1
gursheel@okhdfcbank,2
helpline@okaxis,5
grocery@paytm,4
anandi@okaxis,2
saumya@upi,0
devansh@okicici,3
amit@paytm,3
saumya@okicici,1
aryan@okicici,0
helpline@okicici,0
saumya@okaxis,5
sumit@upi,5
cashback77@okhdfcbnk,432
paypal@okicici,4
devansh@upi,1
sbihelpdesk@okhdfcbank,5
amit@okicici,1
anandi@okhdfcbank,5
anandi@upi,4
helpline@okicicii,498
devansh@paytm,1
fastfood@ybl,0
sumit@fam,4
paytmcash@okhdfcbank,4
anandi@okhdfcbank,5
saumya@okaxis,3
aryan@paytm,1
paytmcash@upi,0
saumya@paytm,0
gursheel@okicici,5
kaavya@okicici,3
loanoffer@okhdfcbnk,382
gursheel@paytm,5
amit@okicici,0
ananya@fam,5
ishaan@fam,1
gursheel@ybl,5
fastrefund@okaxisback,470
paytmcash@okaxis,0
fastfood@upi,1
insurance@okicici,2
sumit@okaxis,4
kaavya@upi,0
sumit@paytm,3
paypal@okicici,2
ishaan@paytm,5
devansh@paytm,2
anandi@paytm,4
devansh@ybl,4
paytmcash@fam,4
sumit@okicici,5
ishaan@okicici,4
insurance@okhdfcbank,0
devansh@upi,3
paypal@okaxis,1
gursheel@okaxis,4
helpline@okhdfcbank,1
reward@okhdfcbnk,387
devansh@fam,0
fastfood@okicici,0
gursheel@upi,3
helpline83@customercareupi,298
ivy@ybl,4
helpline@fam,0
paypal@fam,1
gursheel@okicici,5
gursheel@fam,2
fastfood@okhdfcbank,0
sbihelpdesk@okhdfcbank,3
devansh@upi,4
aryan@okicici,4
loanoffer36@customercareupi,136
sumit@ybl,0
sbihelpdesk@okhdfcbank,3
helpline81@oksbibank,237
ishaan@ybl,3
verify@oksbibank,129
paypal@fam,5
reward@okhdfcbnk,381
grocery@fam,2
grocery@paytm,0
kaavya@okhdfcbank,4
grocery@upi,1
gursheel@fam,0
grocery@okaxis,4
anandi@ybl,2
insurance@paytm,1
kaavya@okaxis,4
sumit@okicici,3
anandi@okicici,5
ananya@fam,2
anandi@paytm,1
paytmcash@fam,4
aryan@paytm,0
ananya@okhdfcbank,0
cashback@paypal,424
ivy@ybl,5
paytmcash@paytm,2
saumya@upi,3
aryan@upi,0
refund@oksbibank,366
anandi@ybl,0
cashback93@paypal,297
verify@okicicii,313
devansh@paytm,5
cashback21@okaxisback,211
amit@ybl,1
helpline@upi,2
amit@upi,2
insurance@okhdfcbank,3
kaavya@okaxis,1
ananya@okhdfcbank,5
amit@okaxis,4
devansh@fam,2
devansh@fam,5
reward@okhdfcbnk,334
helpline@upi,2
sumit@fam,2
fastfood@paytm,1
fastrefund@paypal,353
ishaan@okicici,0
gursheel@fam,5
fastfood@okaxis,0
grocery@paytm,4
kaavya@upi,0
insurance@okicici,4
amit@paytm,2
fastfood@paytm,0
ananya@okaxis,2
ananya@ybl,4
devansh@okicici,5
kaavya@okicici,4
saumya@okhdfcbank,2
ananya@okaxis,4
anandi@upi,2
refund56@customercareupi,217
devansh@upi,1
amit@fam,1
devansh@okhdfcbank,2
anandi@ybl,2
grocery@ybl,0
fastfood@okaxis,5
fastrefund89@oksbibank,111
insurance@okhdfcbank,4
aryan@paytm,5
refund23@customercareupi,495
insurance@upi,0
anandi@fam,5
helpdesk29@okaxisback,101
helpdesk93@customercareupi,189
ananya@ybl,1
ivy@paytm,5
sumit@okaxis,3
grocery@fam,1
insurance@fam,2
sbihelpdesk@okaxis,1
ishaan@ybl,5
kaavya@paytm,4
helpline@paytm,0
grocery@upi,2
ananya@okhdfcbank,2
aryan@ybl,4
